,compound,preverb,simplex
2341,ἐκτέμνω,ἐκ,τέμνω
2342,ἐκτείνω,ἐκ,τείνω
2343,ἐκτειχίζω,ἐκ,τειχίζω
2344,ἐκτεκνόω,ἐκ,τεκνόω
2345,ἐκτελέω,ἐκ,τελέω
2346,ἐκτελευτάω,ἐκ,τελευτάω
2347,ἐκτήκω,ἐκ,τήκω
2348,ἐκτίλλω,ἐκ,τίλλω
2349,ἐκτίνω,ἐκ,τίνω
2350,ἐκτίθημι,ἐκ,τίθημι
2351,ἐκτιμάω,ἐκ,τιμάω
2352,ἐκτινάσσω,ἐκ,τινάσσω
2353,ἐκτιτρώσκω,ἐκ,τιτρώσκω
2354,ἐκτοξεύω,ἐκ,τοξεύω
2355,ἐκτολυπεύω,ἐκ,τολυπεύω
2356,ἐκτοπίζω,ἐκ,τοπίζω
2357,ἐκτορέω,ἐκ,τορέω
2358,ἐκτραγῳδέω,ἐκ,τραγῳδέω
2359,ἐκτραχηλίζω,ἐκ,τραχηλίζω
2360,ἐκτραχύνω,ἐκ,τραχύνω
2361,ἐκτρέφω,ἐκ,τρέφω
2362,ἐκτρέπω,ἐκ,τρέπω
2363,ἐκτρέχω,ἐκ,τρέχω
2364,ἐκτρίβω,ἐκ,τρίβω
2365,ἐκτρυχόω,ἐκ,τρυχόομαι
2366,ἐκτρώγω,ἐκ,τρώγω
2367,ἐκτυφλόω,ἐκ,τυφλόω
2368,ἐκτυπόω,ἐκ,τυπόω
2369,ἐξυβρίζω,ἐκ,ὑβρίζω
2370,ἐξυφαίνω,ἐκ,ὑφαίνω
2371,ἐξυπνίζω,ἐκ,ὑπνίζω
2372,ἐξυπτιάζω,ἐκ,ὑπτιάζω
2373,ἐξωριάζω,ἐκ,ὡριάζω
2374,ἐξωνέομαι,ἐκ,ὠνέομαι
2375,ἐξωθέω,ἐκ,ὠθέω
2376,ἐκχαλάω,ἐκ,χαλάω
2377,ἐκχαλινόω,ἐκ,χαλινόω
2378,ἐκχαυνόω,ἐκ,χαυνόω
2379,ἐκχέω,ἐκ,χέω
2380,ἐκχώννυμαι,ἐκ,χόω
2381,ἐκχορεύω,ἐκ,χορεύω
2382,ἐκχράω,ἐκ,χράω3
2383,ἐκχρηματίζομαι,ἐκ,χρηματίζω
2384,ἐκχωρέω,ἐκ,χωρέω
2385,ἐκψύχω,ἐκ,ψύχω
2386,ἐκζέω,ἐκ,ζέω
2387,ἐκζητέω,ἐκ,ζητέω
2388,ἐκζωπυρέω,ἐκ,ζωπυρέω
2389,ἐμπεδορκέω,ἐμπεδ,ορκέω
2390,ἐναφάπτω,ἐν-ἀπό,ἅπτω
2391,ἐναποδείκνυμαι,ἐν-ἀπό,δείκνυμι
2392,ἐναφίημι,ἐν-ἀπό,ἵημι
2393,ἐναπόκειμαι,ἐν-ἀπό,κεῖμαι
2394,ἐναποκλάω,ἐν-ἀπό,κλάω
2395,ἐναπολογέομαι,ἐν-ἀπό,λογέω
2396,ἐναπονίζω,ἐν-ἀπό,νίζω
2397,ἐναπόλλυμαι,ἐν-ἀπό,ὄλλυμι
2398,ἐναποπνέω,ἐν-ἀπό,πνέω
2399,ἐναποπνίγομαι,ἐν-ἀπό,πνίγω
2400,ἐναποθνήσκω,ἐν-ἀπό,θνήσκω
2401,ἐναποθραύω,ἐν-ἀπό,θραύω
2402,ἐναποσημαίνω,ἐν-ἀπό,σημαίνω
2403,ἐναποτίνω,ἐν-ἀπό,τίνω
2404,ἐναποψύχω,ἐν-ἀπό,ψύχω
2405,ἐνδιάζω,ἐν-διά,ἄζω
2406,ἐνδιαβάλλω,ἐν-διά,βάλλω
2407,ἐνδιημερεύω,ἐν-διά,ἡμερεύω
2408,ἐνδιαθρύπτομαι,ἐν-διά,θρύπτω
2409,ἐνδιατάσσω,ἐν-διά,τάσσω
2410,ἐνδιατρίβω,ἐν-διά,τρίβω
2411,ἐνεπάγομαι,ἐν-ἐπί,ἄγω
2412,ἐνεπιορκέω,ἐν-ἐπί,ὁρκέω
2413,ἐγκαταδέω,ἐν-κατά,δέω1
2414,ἐγκαταδύνω,ἐν-κατά,δύω2
2415,ἐγκαταγηράσκω,ἐν-κατά,γηράσκω
2416,ἐγκαθηβάω,ἐν-κατά,ἡβάω
2417,ἐγκαθίημι,ἐν-κατά,ἵημι
2418,ἐγκαθίστημι,ἐν-κατά,ἵστημι
2419,ἐγκαθιδρύω,ἐν-κατά,ἱδρύω
2420,ἐγκατιλλώπτω,ἐν-κατά,ἰλλώπτω
2421,ἐγκάθημαι,ἐν-κατά,κάθημαι
2422,ἐγκατακαίω,ἐν-κατά,καίω
2423,ἐγκατάκειμαι,ἐν-κατά,κεῖμαι
2424,ἐγκατακλίνω,ἐν-κατά,κλίνω
2425,ἐγκατακοιμάομαι,ἐν-κατά,κοιμάω
2426,ἐγκατακρούω,ἐν-κατά,κρούω
2427,ἐγκαταλαμβάνω,ἐν-κατά,λαμβάνω
2428,ἐγκαταλέγω,ἐν-κατά,λέγω1
2429,ἐγκαταλείπω,ἐν-κατά,λείπω
2430,ἐγκαταλογίζομαι,ἐν-κατά,λογίζομαι
2431,ἐγκαταμίγνυμαι,ἐν-κατά,μίγνυμι
2432,ἐγκαθοράω,ἐν-κατά,ὁράω
2433,ἐγκαθορμίζομαι,ἐν-κατά,ὁρμίζω
2434,ἐγκατοικέω,ἐν-κατά,οἰκέω
2435,ἐγκατοικοδομέω,ἐν-κατά,οἰκοδομέω
2436,ἐγκαταπήγνυμι,ἐν-κατά,πήγνυμι
2437,ἐγκαταπίπτω,ἐν-κατά,πίπτω
2438,ἐγκαταπλέκω,ἐν-κατά,πλέκω
2439,ἐγκαταρράπτω,ἐν-κατά,ῥάπτω
2440,ἐγκατασφάσσω,ἐν-κατά,σφάζω
2441,ἐγκατασκήπτω,ἐν-κατά,σκήπτω
2442,ἐγκατασπείρω,ἐν-κατά,σπείρω
2443,ἐγκαταστοιχειόω,ἐν-κατά,στοιχειόω
2444,ἐγκατατέμνω,ἐν-κατά,τέμνω
2445,ἐγκατατίθεμαι,ἐν-κατά,τίθημι
2446,ἐγκαθυβρίζω,ἐν-κατά,ὑβρίζω
2447,ἐγκαταχέω,ἐν-κατά,χέω
2448,ἐγκαταζεύγνυμι,ἐν-κατά,ζεύγνυμι
2449,ἐμπαρέχω,ἐν-παρά,ἔχω
2450,ἐμπαροινέω,ἐν-παρά,οἰνέω
2451,ἐμπεριπατέω,ἐν-περί,πατέω
2452,ἐνάλλομαι,ἐν,ἅλλομαι
2453,ἐνάπτω,ἐν,ἅπτω
2454,ἐναβρύνομαι,ἐν,ἁβρύνω
2455,ἐναγίζω,ἐν,ἁγίζω
2456,ἐναρμόζω,ἐν,ἁρμόζω
2457,ἐνάγω,ἐν,ἄγω
2458,ἐνάρχομαι,ἐν,ἄρχω
2459,ἐναγκαλίζομαι,ἐν,ἀγκαλίζομαι
2460,ἐναγκυλάω,ἐν,ἀγκυλάω
2461,ἐναγωνίζομαι,ἐν,ἀγωνίζομαι
2462,ἐνακούω,ἐν,ἀκούω
2463,ἐναλείφω,ἐν,ἀλείφω
2464,ἐναλλάσσω,ἐν,ἀλλάσσω
2465,ἐναμβλύνω,ἐν,ἀμβλύνω
2466,ἐναμέλγω,ἐν,ἀμέλγω
2467,ἐναραρίσκω,ἐν,ἀραρίσκω
2468,ἐναριθμέω,ἐν,ἀριθμέω
2469,ἐνασκέω,ἐν,ἀσκέω
2470,ἐνασπιδόομαι,ἐν,ἀσπιδόομαι
2471,ἐνασχημονέω,ἐν,ἀσχημονέω
2472,ἐναιωρέομαι,ἐν,αἰωρέω
2473,ἐναιχμάζω,ἐν,αἰχμάζω
2474,ἐναύω,ἐν,αὔω1
2475,ἐναυξάνω,ἐν,αὐξάνω
2476,ἐναυλίζω,ἐν,αὐλίζομαι
2477,ἐμβάλλω,ἐν,βάλλω
2478,ἐμβάπτω,ἐν,βάπτω
2479,ἐμβαίνω,ἐν,βαίνω
2480,ἐμβαπτίζω,ἐν,βαπτίζω
2481,ἐμβασιλεύω,ἐν,βασιλεύω
2482,ἐμβατεύω,ἐν,βατεύω
2483,ἐμβιβάζω,ἐν,βιβάζω
2484,ἐμβλέπω,ἐν,βλέπω
2485,ἐμβοάω,ἐν,βοάω
2486,ἐμβραδύνω,ἐν,βραδύνω
2487,ἐμβριμάομαι,ἐν,βριμάομαι
2488,ἐμβροντάομαι,ἐν,βροντάω
2489,ἐμβύω,ἐν,βύω
2490,ἐνδάκνω,ἐν,δάκνω
2491,ἐνδαίω1,ἐν,δαίω1
2492,ἐνδαίω2,ἐν,δαίω2
2493,ἐνδακρύω,ἐν,δακρύω
2494,ἐνδατέομαι,ἐν,δατέομαι
2495,ἐνδέμω,ἐν,δέμω
2496,ἐνδέω1,ἐν,δέω1
2497,ἐνδέω2,ἐν,δέω2
2498,ἐνδέχομαι,ἐν,δέχομαι
2499,ἐνδεξιόομαι,ἐν,δεξιόομαι
2500,ἐνδείκνυμι,ἐν,δείκνυμι
2501,ἐνδημέω,ἐν,δημέω
2502,ἐνδίδωμι,ἐν,δίδωμι
2503,ἐνδίημι,ἐν,δίεμαι
2504,ἐνδιαιτάομαι,ἐν,διαιτάω
2505,ἐνδιδύσκω,ἐν,διδύσκω
2506,ἐνδινέω,ἐν,δινεύω
2507,ἐνδουπέω,ἐν,δουπέω
2508,ἐνιδρόω,ἐν,δράω
2509,ἐνδύω,ἐν,δύω2
2510,ἐνδυναμόω,ἐν,δυναμόω
2511,ἐνδυναστεύω,ἐν,δυναστεύω
2512,ἐνδυστυχέω,ἐν,δυστυχέω
2513,ἐνέζομαι,ἐν,ἕζομαι
2514,ἐνελίσσω,ἐν,ἑλίσσω
2515,ἐνεορτάζω,ἐν,ἑορτάζω
2516,ἐνέχω,ἐν,ἔχω
2517,ἐγκωμιάζω,ἐν,ἐγκωμιάζω
2518,ἐνελαύνω,ἐν,ἐλαύνω
2519,ἐνεμέω,ἐν,ἐμέω
2520,ἐνεδρεύω,ἐν,ἐνεδρεύω
2521,ἐνερείδω,ἐν,ἐρείδω
2522,ἐνερεύγομαι,ἐν,ἐρεύγομαι
2523,ἐνεργάζομαι,ἐν,ἐργάζομαι
2524,ἐνεργέω,ἐν,ἐργέω
2525,ἐνεργολαβέω,ἐν,ἐργολαβέω
2526,ἐνεχυράζω,ἐν,ἐχυράζω
2527,ἐνείλλω,ἐν,εἴλω
2528,ἐνειλέω,ἐν,εἴλω
2529,ἐνείρω,ἐν,εἴρω
2530,ἐνεῖδον,ἐν,εἶδον
2531,ἔνειμι,ἐν,εἰμί
2532,ἐνεύδω,ἐν,εὕδω
2533,ἐνευδαιμονέω,ἐν,εὐδαιμονέω
2534,ἐνευδοκιμέω,ἐν,εὐδοκιμέω
2535,ἐνευλογέομαι,ἐν,εὐλογέω
2536,ἐμφαγεῖν,ἐν,φαγεῖν
2537,ἐμφαίνω,ἐν,φαίνω
2538,ἐμφανίζω,ἐν,φανίζω
2539,ἐμφέρβομαι,ἐν,φέρβω
2540,ἐμφέρω,ἐν,φέρω
2541,ἐμφεύγω,ἐν,φεύγω
2542,ἐμφιλοχωρέω,ἐν,φιλοχωρέω
2543,ἐμφλέγω,ἐν,φλέγω
2544,ἐμφορβιόομαι,ἐν,φορβιόομαι
2545,ἐμφορέω,ἐν,φορέω
2546,ἐμφράσσω,ἐν,φράσσω
2547,ἐμφρουρέω,ἐν,φρουρέω
2548,ἐμφύω,ἐν,φύω
2549,ἐμφυσάω,ἐν,φυσάω
2550,ἐμφυσιόω,ἐν,φυσιόω
2551,ἐγγείνωνται,ἐν,γείνομαι
2552,ἐγγελάω,ἐν,γελάω
2553,ἐγγηράσκω,ἐν,γηράσκω
2554,ἐγγίγνομαι,ἐν,γίγνομαι
2555,ἐγγλύφω,ἐν,γλύφω
2556,ἐγγράφω,ἐν,γράφω
2557,ἐγγυαλίζω,ἐν,γυαλίζω
2558,ἐγγυμνάζω,ἐν,γυμνάζω
2559,ἐνῆμαι,ἐν,ἧμαι
2560,ἐνίημι,ἐν,ἵημι
2561,ἐνίστημι,ἐν,ἵστημι
2562,ἐνίζω,ἐν,ἵζω
2563,ἐνιδρύω,ἐν,ἱδρύω
2564,ἐνιππάζομαι,ἐν,ἱππάζομαι
2565,ἐνιππεύω,ἐν,ἱππεύω
2566,ἐνίσχω,ἐν,ἴσχω
2567,ἐνιαύω,ἐν,ἰαύω
2568,ἐγκάμπτω,ἐν,κάμπτω
2569,ἐγκάπτω,ἐν,κάπτω
2570,ἐγκαίω,ἐν,καίω
2571,ἐγκαινίζω,ἐν,καινίζω
2572,ἐγκακέω,ἐν,κακέω
2573,ἐγκαλέω,ἐν,καλέω
2574,ἐγκαλύπτω,ἐν,καλύπτω
2575,ἐγκανάσσω,ἐν,κανάσσω
2576,ἐγκαναχάομαι,ἐν,καναχάομαι
2577,ἐγκαθέζομαι,ἐν,καθέζομαι
2578,ἐγκαθίζω,ἐν,καθίζω
2579,ἐγκαρτερέω,ἐν,καρτερέω
2580,ἐγκείρω,ἐν,κείρω
2581,ἔγκειμαι,ἐν,κεῖμαι
2582,ἐγκελεύω,ἐν,κελεύω
2583,ἐγκεράννυμι,ἐν,κεράννυμι
2584,ἐγκερτομέω,ἐν,κερτομέω
2585,ἐγκιθαρίζω,ἐν,κιθαρίζω
2586,ἐνικλάω,ἐν,κλάω
2587,ἐγκλείω,ἐν,κλείω1
2588,ἐγκλίνω,ἐν,κλίνω
2589,ἐγκόπτω,ἐν,κόπτω
2590,ἐγκοιλαίνω,ἐν,κοιλαίνω
2591,ἐγκοιμίζω,ἐν,κοιμίζω
2592,ἐγκοισυρόομαι,ἐν,κοισυρόομαι
2593,ἐγκολάπτω,ἐν,κολάπτω
2594,ἐγκοληβάζω,ἐν,κοληβάζω
2595,ἐγκολπίζω,ἐν,κολπίζω
2596,ἐγκομβόομαι,ἐν,κομβόομαι
2597,ἐγκονέω,ἐν,κονέω
2598,ἐγκονίομαι,ἐν,κονίω
2599,ἐγκορδυλέω,ἐν,κορδυλέω
2600,ἐγκοσμέω,ἐν,κοσμέω
2601,ἐγκοτέω,ἐν,κοτέω
2602,ἐγκράζω,ἐν,κράζω
2603,ἐγκρίνω,ἐν,κρίνω
2604,ἐγκροτέω,ἐν,κροτέω
2605,ἐγκρούω,ἐν,κρούω
2606,ἐγκρύπτω,ἐν,κρύπτω
2607,ἐγκρυφιάζω,ἐν,κρυφιάζω
2608,ἐγκτάομαι,ἐν,κτάομαι
2609,ἐγκύπτω,ἐν,κύπτω
2610,ἐγκυκάω,ἐν,κυκάω
2611,ἐγκυκλέομαι,ἐν,κυκλέω
2612,ἐγκυκλόω,ἐν,κυκλόω
2613,ἐγκυλίνδω,ἐν,κυλίνδω
2614,ἐγκύρω,ἐν,κυρέω
2615,ἐλλάμπω,ἐν,λάμπω
2616,ἐλλαμπρύνομαι,ἐν,λαμπρύνω
2617,ἐλλείπω,ἐν,λείπω
2618,ἐμμάσσομαι,ἐν,μάσσω
2619,ἐμμάχομαι,ἐν,μάχομαι
2620,ἐμμαίνομαι,ἐν,μαίνομαι
2621,ἐμμεμαώς,ἐν,μέμαα
2622,ἐμμέμονα,ἐν,μέμονα
2623,ἐμμένω,ἐν,μένω
2624,ἐμμειδιάω,ἐν,μειδιάω
2625,ἐμμελετάω,ἐν,μελετάω
2626,ἐμμίγνυμαι,ἐν,μίγνυμι
2627,ἐμμυέω,ἐν,μυέω
2628,ἐνναίω,ἐν,ναίω1
2629,ἐνναυπηγέομαι,ἐν,ναυπηγέω
2630,ἐννεύω,ἐν,νεύω
2631,ἐννοέω,ἐν,νοέω
2632,ἐννυχεύω,ἐν,νυχεύω
2633,ἐνομιλέω,ἐν,ὁμιλέω
2634,ἐνοράω,ἐν,ὁράω
2635,ἐνορμίζω,ἐν,ὁρμίζω
2636,ἐνόρνυμι,ἐν,ὄρνυμι
2637,ἐνολισθάνω,ἐν,ὀλισθάνω
2638,ἐνομόργνυμαι,ἐν,ὀμόργνυμι
2639,ἐνορούω,ἐν,ὀρούω
2640,ἐνοχλέω,ἐν,ὀχλέω
2641,ἐνοικέω,ἐν,οἰκέω
2642,ἐνοικίζω,ἐν,οἰκίζω
2643,ἐνοικοδομέω,ἐν,οἰκοδομέω
2644,ἐνοικουρέω,ἐν,οἰκουρέω
2645,ἐνοινοχοέω,ἐν,οἰνοχοέω
2646,ἐμπάσσω,ἐν,πάσσω
2647,ἐμπαίω,ἐν,παίω1
2648,ἐμπαίζω,ἐν,παίζω
2649,ἐμπακτόω,ἐν,πακτόω
2650,ἐμπαλάσσομαι,ἐν,παλάσσω
2651,ἐμπανηγυρίζω,ἐν,πανηγυρίζω
2652,ἐμπατέω,ἐν,πατέω
2653,ἐμπελάζω,ἐν,πελάζω
2654,ἐμπετάννυμι,ἐν,πετάννυμι
2655,ἐμπήγνυμι,ἐν,πήγνυμι
2656,ἐμπηδάω,ἐν,πηδάω
2657,ἐμπίπλημι,ἐν,πίμπλημι
2658,ἐμπίμπρημι,ἐν,πίμπρημι
2659,ἐμπίνω,ἐν,πίνω
2660,ἐμπίπτω,ἐν,πίπτω
2661,ἐμπίτνω,ἐν,πίπτω
2662,ἐμπικραίνομαι,ἐν,πικραίνω
2663,ἐμπιστεύω,ἐν,πιστεύω
2664,ἐμπλάσσω,ἐν,πλάσσω
2665,ἐμπλέκω,ἐν,πλέκω
2666,ἐμπλέω,ἐν,πλέω
2667,ἐμπλήσσω,ἐν,πλήσσω
2668,ἐμπνέω,ἐν,πνέω
2669,ἐμποδίζω,ἐν,ποδίζω
2670,ἐμποιέω,ἐν,ποιέω
2671,ἐμπολιτεύω,ἐν,πολιτεύω
2672,ἐμπομπεύω,ἐν,πομπεύω
2673,ἐμπορεύομαι,ἐν,πορεύω
2674,ἐμπορπάω,ἐν,πορπάω
2675,ἐμπρέπω,ἐν,πρέπω
2676,ἐμπρήθω,ἐν,πρήθω
2677,ἐμπρίω,ἐν,πρίω
2678,ἐμπτύω,ἐν,πτύω
2679,ἐμπυκάζω,ἐν,πυκάζω
2680,ἐμπυρεύω,ἐν,πυρεύω
2681,ἐνθάπτω,ἐν,θάπτω
2682,ἐνθακέω,ἐν,θακέω
2683,ἐνθεάζω,ἐν,θεάζω
2684,ἐνθερμαίνω,ἐν,θερμαίνω
2685,ἐνθνήσκω,ἐν,θνήσκω
2686,ἐνθρώσκω,ἐν,θρώσκω
2687,ἐνθυμέομαι,ἐν,θυμέω
2688,ἐνθωρακίζω,ἐν,θωρακίζω
2689,ἐνράπτω,ἐν,ῥάπτω
2690,ἐνριγόω,ἐν,ῥιγόω
2691,ἐνσείω,ἐν,σείω
2692,ἐνσφραγίζω,ἐν,σφραγίζω
2693,ἐνσημαίνομαι,ἐν,σημαίνω
2694,ἐνσκέλλω,ἐν,σκέλλω
2695,ἐνσκευάζω,ἐν,σκευάζω
2696,ἐνσκήπτω,ἐν,σκήπτω
2697,ἐνσκίμπτω,ἐν,σκίμπτομαι
2698,ἐνσκιρρόω,ἐν,σκιρρόω
2699,ἐνστάζω,ἐν,στάζω
2700,ἐνσταλάζω,ἐν,σταλάζω
2701,ἐνστέλλω,ἐν,στέλλω
2702,ἐνστηρίζω,ἐν,στηρίζω
2703,ἐνστρατοπεδεύομαι,ἐν,στρατοπεδεύω
2704,ἐνστρέφω,ἐν,στρέφω
2705,ἐντάσσω,ἐν,τάσσω
2706,ἐντανύω,ἐν,τανύω
2707,ἐντέλλω,ἐν,τέλλω
2708,ἐντέμνω,ἐν,τέμνω
2709,ἐντείνω,ἐν,τείνω
2710,ἐντειχίζω,ἐν,τειχίζω
2711,ἐντεκνόομαι,ἐν,τεκνόω
2712,ἐντελευτάω,ἐν,τελευτάω
2713,ἐντευτλανόομαι,ἐν,τευτλανόομαι
2714,ἐντήκω,ἐν,τήκω
2715,ἐντίκτω,ἐν,τίκτω
2716,ἐντίθημι,ἐν,τίθημι
2717,ἐντιλάω,ἐν,τιλάω
2718,ἐντιμάω,ἐν,τιμάω
2719,ἐντορεύω,ἐν,τορεύω
2720,ἐντραγῳδέω,ἐν,τραγῳδέω
2721,ἐντρέφω,ἐν,τρέφω
2722,ἐντρέπω,ἐν,τρέπω
2723,ἐντρέχω,ἐν,τρέχω
2724,ἐντρίβω,ἐν,τρίβω
2725,ἐντροπαλίζομαι,ἐν,τροπαλίζομαι
2726,ἐντρυφάω,ἐν,τρυφάω
2727,ἐντραγεῖν,ἐν,τρώγω
2728,ἐντύφω,ἐν,τύφω
2729,ἐντυγχάνω,ἐν,τυγχάνω
2730,ἐντυλίσσω,ἐν,τυλίσσω
2731,ἐντυπόω,ἐν,τυπόω
2732,ἐνυβρίζω,ἐν,ὑβρίζω
2733,ἐνυφαίνω,ἐν,ὑφαίνω
2734,ἐνωθέω,ἐν,ὠθέω
2735,ἐνωτίζομαι,ἐν,ὠτίζομαι
2736,ἐγχάσκω,ἐν,χάσκω
2737,ἐγχαλινόω,ἐν,χαλινόω
2738,ἐγχαράσσω,ἐν,χαράσσω
2739,ἐγχέω,ἐν,χέω
2740,ἐγχύνω,ἐν,χέω
2741,ἐγχέζω,ἐν,χέζω
2742,ἐγχειρίζω,ἐν,χειρίζω
2743,ἐγχράω,ἐν,χράω1
2744,ἐγχρέμπτομαι,ἐν,χρέμπτομαι
2745,ἐγχρῄζω,ἐν,χρῄζω
2746,ἐγχρίμπτω,ἐν,χρίμπτω
2747,ἐγχρίω,ἐν,χρίω
2748,ἐγχρονίζω,ἐν,χρονίζω
2749,ἐγχρώζομαι,ἐν,χρώζω
2750,ἐγχυτρίζω,ἐν,χυτρίζω
2751,ἐγχωρέω,ἐν,χωρέω
2752,ἐμψυχόω,ἐν,ψυχόω
2753,ἐνζεύγνυμι,ἐν,ζεύγνυμι
2754,ἐπαμπέχω,ἐπί-ἀμφί,ἔχω
2755,ἐπανάγω,ἐπί-ἀνά,ἄγω
2756,ἐπαναγορεύω,ἐπί-ἀνά,ἀγορεύω
2757,ἐπαναλίσκω,ἐπί-ἀνά,ἀναλίσκω
2758,ἐπαναιρέομαι,ἐπί-ἀνά,αἱρέω
2759,ἐπαναίρω,ἐπί-ἀνά,αἴρω
2760,ἐπαναβάλλω,ἐπί-ἀνά,βάλλω
2761,ἐπαναβαίνω,ἐπί-ἀνά,βαίνω
2762,ἐπαναβιβάζω,ἐπί-ἀνά,βιβάζω
2763,ἐπαναβοάω,ἐπί-ἀνά,βοάω
2764,ἐπανέρομαι,ἐπί-ἀνά,ἔρομαι
2765,ἐπανέρχομαι,ἐπί-ἀνά,ἔρχομαι
2766,ἐπανέχω,ἐπί-ἀνά,ἔχω
2767,ἐπανερωτάω,ἐπί-ἀνά,ἐρωτάω
2768,ἐπάνειμι,ἐπί-ἀνά,εἶμι
2769,ἐπανεῖπον,ἐπί-ἀνά,εἶπον
2770,ἐπαναφέρω,ἐπί-ἀνά,φέρω
2771,ἐπανήκω,ἐπί-ἀνά,ἥκω
2772,ἐπανίημι,ἐπί-ἀνά,ἵημι
2773,ἐπανίστημι,ἐπί-ἀνά,ἵστημι
2774,ἐπανισόω,ἐπί-ἀνά,ἰσόω
2775,ἐπανακαλέω,ἐπί-ἀνά,καλέω
2776,ἐπανάκειμαι,ἐπί-ἀνά,κεῖμαι
2777,ἐπανακλαγγάνω,ἐπί-ἀνά,κλαγγαίνω
2778,ἐπανακύπτω,ἐπί-ἀνά,κύπτω
2779,ἐπαναλαμβάνω,ἐπί-ἀνά,λαμβάνω
2780,ἐπαμμένω,ἐπί-ἀνά,μένω
2781,ἐπαναμένω,ἐπί-ἀνά,μένω
2782,ἐπαναμιμνήσκω,ἐπί-ἀνά,μιμνήσκω
2783,ἐπανανεόομαι,ἐπί-ἀνά,νεόω
2784,ἐπανορθόω,ἐπί-ἀνά,ὀρθόω
2785,ἐπαναπαύομαι,ἐπί-ἀνά,παύω
2786,ἐπαναπηδάω,ἐπί-ἀνά,πηδάω
2787,ἐπαναπλέω,ἐπί-ἀνά,πλέω
2788,ἐπαναθεάομαι,ἐπί-ἀνά,θεάομαι
2789,ἐπαναρρήγνυμι,ἐπί-ἀνά,ῥήγνυμι
2790,ἐπαναρρίπτω,ἐπί-ἀνά,ῥίπτω
2791,ἐπανασείω,ἐπί-ἀνά,σείω
2792,ἐπανασκοπέω,ἐπί-ἀνά,σκοπέω
2793,ἐπαναστρέφω,ἐπί-ἀνά,στρέφω
2794,ἐπανατέλλω,ἐπί-ἀνά,τέλλω
2795,ἐπανατείνω,ἐπί-ἀνά,τείνω
2796,ἐπανατίθημι,ἐπί-ἀνά,τίθημι
2797,ἐπανατρέχω,ἐπί-ἀνά,τρέχω
2798,ἐπαναχωρέω,ἐπί-ἀνά,χωρέω
2799,ἐπαφαυαίνομαι,ἐπί-ἀπό,αὐαίνω
2800,ἐπαποδύομαι,ἐπί-ἀπό,δύω2
2801,ἐπαφίημι,ἐπί-ἀπό,ἵημι
2802,ἐπαποπνίγω,ἐπί-ἀπό,πνίγω
2803,ἐπαποθνήσκω,ἐπί-ἀπό,θνήσκω
2804,ἐπιδιαιρέω,ἐπί-διά,αἱρέω
2805,ἐπιδιαβαίνω,ἐπί-διά,βαίνω
2806,ἐπιδιαφέρομαι,ἐπί-διά,φέρω
2807,ἐπιδιαγιγνώσκω,ἐπί-διά,γιγνώσκω
2808,ἐπιδιακρίνω,ἐπί-διά,κρίνω
2809,ἐπιδιορθόομαι,ἐπί-διά,ὀρθόω
2810,ἐπιδιαρρήγνυμαι,ἐπί-διά,ῥήγνυμι
2811,ἐπιδιατάσσομαι,ἐπί-διά,τάσσω
2812,ἐπιδιατίθεμαι,ἐπί-διά,τίθημι
2813,ἐπεκδιηγέομαι,ἐπί-ἐκ-διά,ἡγέομαι
2814,ἐπεξιακχάζω,ἐπί-ἐκ,Ἰακχάζω
2815,ἐπεξαμαρτάνω,ἐπί-ἐκ,ἁμαρτάνω
2816,ἐπεξάγω,ἐπί-ἐκ,ἄγω
2817,ἐπεκβαίνω,ἐπί-ἐκ,βαίνω
2818,ἐπεκβοηθέω,ἐπί-ἐκ,βοηθέω
2819,ἐπεκδιδάσκω,ἐπί-ἐκ,διδάσκω
2820,ἐπεξέρχομαι,ἐπί-ἐκ,ἔρχομαι
2821,ἐπεξελαύνω,ἐπί-ἐκ,ἐλαύνω
2822,ἐπεξεργάζομαι,ἐπί-ἐκ,ἐργάζομαι
2823,ἐπέξειμι,ἐπί-ἐκ,εἶμι
2824,ἐπεξευρίσκω,ἐπί-ἐκ,εὑρίσκω
2825,ἐπεκφέρω,ἐπί-ἐκ,φέρω
2826,ἐπεξηγέομαι,ἐπί-ἐκ,ἡγέομαι
2827,ἐπεκπίνω,ἐπί-ἐκ,πίνω
2828,ἐπεκτείνω,ἐπί-ἐκ,τείνω
2829,ἐπεκτρέχω,ἐπί-ἐκ,τρέχω
2830,ἐπεκχωρέω,ἐπί-ἐκ,χωρέω
2831,ἐπεμβάλλω,ἐπί-ἐν,βάλλω
2832,ἐπεμβαίνω,ἐπί-ἐν,βαίνω
2833,ἐπενδίδωμι,ἐπί-ἐν,δίδωμι
2834,ἐπενδύνω,ἐπί-ἐν,δύω2
2835,ἐπεγγελάω,ἐπί-ἐν,γελάω
2836,ἐπεγκάπτω,ἐπί-ἐν,κάπτω
2837,ἐπεγκελεύω,ἐπί-ἐν,κελεύω
2838,ἐπεμπηδάω,ἐπί-ἐν,πηδάω
2839,ἐπεμπίπτω,ἐπί-ἐν,πίπτω
2840,ἐπενθρώσκω,ἐπί-ἐν,θρώσκω
2841,ἐπεντανύω,ἐπί-ἐν,τανύω
2842,ἐπεντέλλω,ἐπί-ἐν,τέλλω
2843,ἐπεντείνω,ἐπί-ἐν,τείνω
2844,ἐπεγχέω,ἐπί-ἐν,χέω
