,compound,preverb,simplex
116,ἀναβιώσκομαι,ἀνά,βιώσκομαι
117,ἀναβλαστάνω,ἀνά,βλαστάνω
118,ἀναβλέπω,ἀνά,βλέπω
119,ἀναβλύζω,ἀνά,βλύζω
120,ἀναβλώσκω,ἀνά,βλώσκω
121,ἀναβοάω,ἀνά,βοάω
122,ἀναβράσσω,ἀνά,βράσσω
123,ἀνέβραχε,ἀνά,βραχεῖν
124,ἀναβρυάζω,ἀνά,βρυάζω
125,ἀναβρυχάομαι,ἀνά,βρυχάομαι
126,ἀναξαίνω,ἀνά,ξαίνω
127,ἀναξηραίνω,ἀνά,ξηραίνω
128,ἀναξύω,ἀνά,ξύω
129,ἀναδαίω,ἀνά,δαίω1
130,ἀναδατέομαι,ἀνά,δατέομαι
131,ἀναδέρκομαι,ἀνά,δέρκομαι
132,ἀναδέρω,ἀνά,δέρω
133,ἀναδέω,ἀνά,δέω1
134,ἀναδέχομαι,ἀνά,δέχομαι
135,ἀναδείκνυμι,ἀνά,δείκνυμι
136,ἀναδεύω,ἀνά,δεύω1
137,ἀναδίδωμι,ἀνά,δίδωμι
138,ἀναδιδάσκω,ἀνά,διδάσκω
139,ἀναδιπλόομαι,ἀνά,διπλόω
140,ἀναδύνω,ἀνά,δύω2
141,ἀναδύομαι,ἀνά,δύω2
142,ἀνέλκω,ἀνά,ἕλκω
143,ἀνέρπω,ἀνά,ἕρπω
144,ἀνελίσσω,ἀνά,ἑλίσσω
145,ἀνέραμαι,ἀνά,ἔραμαι
146,ἀνείργω,ἀνά,ἔργω1
147,ἀνέρομαι,ἀνά,ἔρομαι
148,ἀνέρρω,ἀνά,ἔρρω
149,ἀνέρχομαι,ἀνά,ἔρχομαι
150,ἀνέχω,ἀνά,ἔχω
151,ἀνεγείρω,ἀνά,ἐγείρω
152,ἀνελέγχω,ἀνά,ἐλέγχω
153,ἀνερείπομαι,ἀνά,ἐρείπω
154,ἀνερεθίζω,ἀνά,ἐρεθίζω
155,ἀνερευνάω,ἀνά,ἐρευνάω
156,ἀνερύω,ἀνά,ἐρύω
157,ἀνερυθριάω,ἀνά,ἐρυθριάω
158,ἀνερωτάω,ἀνά,ἐρωτάω
159,ἀνετάζω,ἀνά,ἐτάζω
160,ἀνειλέω,ἀνά,εἴλω
161,ἀνείρω,ἀνά,εἴρω
162,ἄνειμι,ἀνά,εἶμι
163,ἀνειπεῖν,ἀνά,εἶπον
164,ἀνευρίσκω,ἀνά,εὑρίσκω
165,ἀνευφημέω,ἀνά,εὐφημέω
166,ἀναφαίνω,ἀνά,φαίνω
167,ἀναφέρω,ἀνά,φέρω
168,ἀναφεύγω,ἀνά,φεύγω
169,ἀναφλέγω,ἀνά,φλέγω
170,ἀναφλεγμαίνω,ἀνά,φλεγμαίνω
171,ἀναφλογίζω,ἀνά,φλογίζω
172,ἀναφλύω,ἀνά,φλύω
173,ἀναφοβέω,ἀνά,φοβέω
174,ἀναφθέγγομαι,ἀνά,φθέγγομαι
175,ἀναφθείρομαι,ἀνά,φθείρω
176,ἀναγελάω,ἀνά,γελάω
177,ἀναγεννάω,ἀνά,γεννάω
178,ἀναγεύω,ἀνά,γεύω
179,ἀναγιγνώσκω,ἀνά,γιγνώσκω
180,ἀναγνάμπτω,ἀνά,γνάμπτω
181,ἀναγράφω,ἀνά,γράφω
182,ἀναγρύζω,ἀνά,γρύζω
183,ἀναγυμνόω,ἀνά,γυμνόω
184,ἀνήκω,ἀνά,ἥκω
185,ἀνηβάω,ἀνά,ἡβάω
186,ἀνηγέομαι,ἀνά,ἡγέομαι
187,ἀνηπύω,ἀνά,ἠπύω
188,ἀνίημι,ἀνά,ἵημι
189,ἀνίστημι,ἀνά,ἵστημι
190,ἀνιερόω,ἀνά,ἱερόω
191,ἀνιμάω,ἀνά,ἱμάω
192,ἀνιστορέω,ἀνά,ἱστορέω
193,ἀνιάομαι,ἀνά,ἰάομαι
194,ἀνιάχω,ἀνά,ἰάχω
195,ἀνισόω,ἀνά,ἰσόω
196,ἀνιχνεύω,ἀνά,ἰχνεύω
197,ἀνακάμπτω,ἀνά,κάμπτω
198,ἀνακάπτω,ἀνά,κάπτω
199,ἀνακαγχάζω,ἀνά,καγχάζω
200,ἀνακαίω,ἀνά,καίω
201,ἀνακαινίζω,ἀνά,καινίζω
202,ἀνακαινόω,ἀνά,καινόω
203,ἀνακαινουργέω,ἀνά,καινουργέω
204,ἀνακαλέω,ἀνά,καλέω
205,ἀνακαλύπτω,ἀνά,καλύπτω
206,ἀνακαθαίρω,ἀνά,καθαίρω
207,ἀνακαθίζω,ἀνά,καθίζω
208,ἀνακεφαλαιόω,ἀνά,κεφαλαιόω
209,ἀνάκειμαι,ἀνά,κεῖμαι
210,ἀνακεράννυμι,ἀνά,κεράννυμι
211,ἀνακηκίω,ἀνά,κηκίω
212,ἀνακηρύσσω,ἀνά,κηρύσσω
213,ἀνακινδυνεύω,ἀνά,κινδυνεύω
214,ἀνακινέω,ἀνά,κινέω
215,ἀνακίρναμαι,ἀνά,κιρνάω
216,ἀνακλαίω,ἀνά,κλάω
217,ἀνακλάζω,ἀνά,κλάζω
218,ἀνακλαίω,ἀνά,κλαίω
219,ἀνακλίνω,ἀνά,κλίνω
220,ἀνακλώθω,ἀνά,κλώθω
221,ἀνακόπτω,ἀνά,κόπτω
222,ἀνακογχυλιάζω,ἀνά,κογχυλιάζω
223,ἀνακοινόω,ἀνά,κοινόω
224,ἀνακοιρανέω,ἀνά,κοιρανέω
225,ἀνακομίζω,ἀνά,κομίζω
226,ἀνακουφίζω,ἀνά,κουφίζω
227,ἀνακράζω,ἀνά,κράζω
228,ἀνακρέκομαι,ἀνά,κρέκω
229,ἀνακρεμάννυμι,ἀνά,κρεμάννυμι
230,ἀνακρίνω,ἀνά,κρίνω
231,ἀνακροτέω,ἀνά,κροτέω
232,ἀνακρούω,ἀνά,κρούω
233,ἀνακτάομαι,ἀνά,κτάομαι
234,ἀνακύπτω,ἀνά,κύπτω
235,ἀνακυκάω,ἀνά,κυκάω
236,ἀνακυκλέω,ἀνά,κυκλέω
237,ἀνακυκλόομαι,ἀνά,κυκλόω
238,ἀνακυμβαλιάζω,ἀνά,κυμβαλιάζω
239,ἀνακωκύω,ἀνά,κωκύω
240,ἀναλάμπω,ἀνά,λάμπω
241,ἀναλάζομαι,ἀνά,λάζομαι
242,ἀναλαμβάνω,ἀνά,λαμβάνω
243,ἀναλέγω,ἀνά,λέγω2
244,ἀναλείχω,ἀνά,λείχω
245,ἀναλογίζομαι,ἀνά,λογίζομαι
246,ἀναλύω,ἀνά,λύω
247,ἀναμάσσω,ἀνά,μάσσω
248,ἀναμάχομαι,ἀνά,μάχομαι
249,ἀναμαιμάω,ἀνά,μαιμάω
250,ἀναμανθάνω,ἀνά,μανθάνω
251,ἀναμασάομαι,ἀνά,μασάομαι
252,ἀναμέλπω,ἀνά,μέλπω
253,ἀναμένω,ἀνά,μένω
254,ἀναμεστόω,ἀνά,μεστόω
255,ἀναμετρέω,ἀνά,μετρέω
256,ἀναμηρυκάομαι,ἀνά,μηρυκάομαι
257,ἀναμίγνυμι,ἀνά,μίγνυμι
258,ἀναμίσγω,ἀνά,μίγνυμι
259,ἀναμίμνω,ἀνά,μίμνω
260,ἀναμιμνήσκω,ἀνά,μιμνήσκω
261,ἀναμισθαρνέω,ἀνά,μισθαρνέω
262,ἀναμορμύρω,ἀνά,μορμύρω
263,ἀναμοχλεύω,ἀνά,μοχλεύω
264,ἀναμυχθίζομαι,ἀνά,μυχθίζω
265,ἀνανέμω,ἀνά,νέμω
266,ἀνανέομαι,ἀνά,νέομαι
267,ἀνανεάζω,ἀνά,νεάζω
268,ἀνανεόομαι,ἀνά,νεόω
269,ἀνανεύω,ἀνά,νεύω
270,ἀνανήφω,ἀνά,νήφω
271,ἀνοδηγέω,ἀνά,ὁδηγέω
272,ἀνομαλίζω,ἀνά,ὁμαλίζω
273,ἀνομολογέομαι,ἀνά,ὁμολογέω
274,ἀνόρνυμι,ἀνά,ὄρνυμι
275,ἀνοδύρομαι,ἀνά,ὀδύρομαι
276,ἀνολοφύρομαι,ἀνά,ὀλοφύρομαι
277,ἀνολολύζω,ἀνά,ὀλολύζω
278,ἀνορούω,ἀνά,ὀρούω
279,ἀνορθόω,ἀνά,ὀρθόω
280,ἀνορύσσω,ἀνά,ὀρύσσω
281,ἀνορχέομαι,ἀνά,ὀρχέομαι
282,ἀνοτοτύζω,ἀνά,ὀτοτύζω
283,ἀνοχμάζω,ἀνά,ὀχμάζω
284,ἀνοίγνυμι,ἀνά,οἴγω
285,ἀνοιδέω,ἀνά,οἰδέω
286,ἀνοικίζω,ἀνά,οἰκίζω
287,ἀνοικοδομέω,ἀνά,οἰκοδομέω
288,ἀνοιμώζω,ἀνά,οἰμώζω
289,ἀνοιστρέω,ἀνά,οἰστράω
290,ἀναπάλλω,ἀνά,πάλλω
291,ἀναπάσσω,ἀνά,πάσσω
292,ἀναπαίω,ἀνά,παίω1
293,ἀναπαιδεύω,ἀνά,παιδεύω
294,ἀναπαύω,ἀνά,παύω
295,ἀναπέμπω,ἀνά,πέμπω
296,ἀναπέτομαι,ἀνά,πέτομαι
297,ἀναπείθω,ἀνά,πείθω
298,ἀναπείρω,ἀνά,πείρω
299,ἀναπειράομαι,ἀνά,πειράω
300,ἀναπεμπάζομαι,ἀνά,πεμπάζω
301,ἀναπετάννυμι,ἀνά,πετάννυμι
302,ἀναπήγνυμι,ἀνά,πήγνυμι
303,ἀναπηδάω,ἀνά,πηδάω
304,ἀναπίμπλημι,ἀνά,πίμπλημι
305,ἀναπίπτω,ἀνά,πίπτω
306,ἀναπιδύω,ἀνά,πιδύω
307,ἀναπλάσσω,ἀνά,πλάσσω
308,ἀναπλέκω,ἀνά,πλέκω
